right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0.0,0,0.0,0.0,0.0
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.010472,0,0.760207,0.649681,0.496368
-0.0418879,0,0.759209,0.650847,0.496368
-0.020944,0,0.760207,0.649681,0.419954
0.0418879,0,0.762196,0.647346,0.445528
0.0418879,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.020944,0,0.760207,0.649681,0.471
-0.020944,0,0.760207,0.649681,0.471
-0.010472,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
0.010472,0,0.761202,0.648514,0.471
-0.0,0,0.760207,0.649681,0.471
0.010472,0,0.761202,0.648514,0.471
0.010472,0,0.761202,0.648514,0.471
0.010472,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.010472,0,0.761202,0.648514,0.471
-0.0,0,0.760207,0.649681,0.471
-0.010472,0,0.761202,0.648514,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.760207,0.649681,0.471
-0.010472,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
-0.0,0,0.760207,0.649681,0.471
0.010472,0,0.761202,0.648514,0.471
-0.0,0,0.760207,0.649681,0.471
0.010472,0,0.761202,0.648514,0.471
0.010472,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
-0.0,0,0.761202,0.648514,0.471
