left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
0.0455866,0,0.0366287,-0.404396,-0.0505457,0,-0.0122108,0.43956,0.0104904,-0,0.0366287,-0.111355,0.0249863,-0,0.0122108,-0.205128,-0.0150681,0,0.0366287,0.123077,-0.0104904,0,-0.0122108,0.0996342,0,0,-0.865514,0.500885,-0.471,-0,-0,0.639125,-0.769103,0.471
0.0444422,0,-0.305252,-0.826374,-0.0505457,0,0.0366287,0.627106,0.0104904,-0,0.0122108,-0.21685,0.0242233,-0,-0.134312,-0.486446,-0.0150681,0,0.0366287,0.28718,-0.0104904,0,0.0122108,0.205128,0,0,-0.865514,0.500885,-0.496368,-0,-0,0.639125,-0.769103,0.471
0.0406275,0,-0.451771,-0.861538,-0.0482569,0,0.402931,0.931868,0.0104904,-0,0.0122108,-0.252014,0.0238419,-0,-0.0854683,-0.568499,-0.0146866,0,-0.0122108,0.345787,-0.0104904,0,-0.0122108,0.252014,0,0,-0.865514,0.500885,-0.521633,0.010472,-0,0.637944,-0.770083,0.471
0.0368128,0,-0.354092,-0.955311,-0.0436792,0,0.54945,0.896704,0.0104904,-0,-0.0366287,-0.263737,0.0230789,-0,-0.0854683,-0.545055,-0.0146866,0,0.0854683,0.35751,-0.0101089,0,0.0366287,0.252014,0,0,-0.865514,0.500885,-0.496368,0.0314159,-0,0.636762,-0.77106,0.471
0.034524,0,-0.10989,-0.931868,-0.0387201,0,0.54945,0.884981,0.0104904,-0,0.0366287,-0.252014,0.022316,-0,-0.134312,-0.50989,-0.0146866,0,-0.0366287,0.35751,-0.0101089,0,0.0122108,0.252014,0,0,-0.864744,0.502212,-0.521633,0.0418879,-0,0.636762,-0.77106,0.471
0.0349054,0,0.0854683,-0.896704,-0.0352869,0,0.427349,0.861538,0.0104904,-0,-0.0122108,-0.252014,0.0219345,-0,-0.0366287,-0.533333,-0.0146866,0,0.0366287,0.35751,-0.0101089,0,-0.0366287,0.252014,0.020944,0,-0.864744,0.502212,-0.521633,0.0314159,-0,0.635578,-0.772036,0.445528
0.0349054,0,-0.0122108,-0.838095,-0.0326166,0,0.28083,0.767765,0.0104904,-0,-0.0366287,-0.263737,0.021553,-0,-0.0610504,-0.521612,-0.0146866,0,0.0366287,0.35751,-0.0101089,0,-0.0122108,0.240294,0.010472,0,-0.864744,0.502212,-0.496368,0.0418879,-0,0.635578,-0.772036,0.471
0.0349054,0,0.0854683,-0.838095,-0.0310898,0,0.183151,0.814651,0.0104904,-0,-0.0610504,-0.252014,0.021553,-0,-0.0610504,-0.50989,-0.0146866,0,0.0122108,0.35751,-0.0101089,0,-0.0122108,0.252014,0.020944,0,-0.863973,0.503538,-0.546793,0.010472,-0,0.636762,-0.77106,0.471
0.0349054,0,-0.0122108,-0.849817,-0.0295639,0,0.207569,0.732601,0.0104904,-0,-0.0366287,-0.252014,0.021553,-0,0.0366287,-0.521612,-0.0146866,0,0.0122108,0.35751,-0.0101089,0,-0.0610504,0.252014,0.0523599,0,-0.863199,0.504863,-0.521633,-0,-0,0.635578,-0.772036,0.445528
0.0349054,0,0.0366287,-0.861538,-0.0295639,0,-0.0366287,0.779488,0.0104904,-0,0.0122108,-0.252014,0.0211716,-0,-0.0366287,-0.486446,-0.0146866,0,0.0122108,0.35751,-0.0101089,0,-0.0366287,0.252014,0.0418879,0,-0.863199,0.504863,-0.521633,0.010472,-0,0.635578,-0.772036,0.471
0.0349054,0,-0.0366287,-0.861538,-0.0299454,0,-0.0122108,0.744322,0.0101089,-0,-0.0366287,-0.252014,0.0196457,-0,-0.183151,-0.43956,-0.0146866,0,0.0366287,0.35751,-0.0101089,0,-0.0366287,0.252014,0.020944,0,-0.863199,0.504863,-0.521633,0.010472,-0,0.634393,-0.77301,0.471
0.0349054,0,0.0122108,-0.849817,-0.0299454,0,-0.0366287,0.720879,0.0101089,-0,0.0366287,-0.252014,0.0188828,-0,-0.0366287,-0.463003,-0.0146866,0,-0.0366287,0.35751,-0.0101089,0,-0.0366287,0.252014,0,0,-0.863973,0.503538,-0.471,0.0314159,-0,0.634393,-0.77301,0.471
0.0349054,0,-0.0122108,-0.849817,-0.0299454,0,0.0366287,0.744322,0.0101089,-0,0.0366287,-0.240294,0.0185013,-0,-0.0854683,-0.427839,-0.0146866,0,-0.0122108,0.35751,-0.0101089,0,-0.0122108,0.252014,-0.0523599,0,-0.865514,0.500885,-0.471,-0,-0,0.635578,-0.772036,0.471
0.0349054,0,0.0366287,-0.861538,-0.0303268,0,-0.0366287,0.732601,0.0101089,-0,0.0366287,-0.240294,0.0165939,-0,-0.256409,-0.380953,-0.0146866,0,0.0366287,0.35751,-0.0101089,0,-0.0122108,0.252014,-0.0628319,0,-0.866281,0.499557,-0.471,-0.0418879,-0,0.636762,-0.77106,0.471
