left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
-0.00247955,0,-0.0122108,0.0879116,-0.0043869,0,0.0854683,0.134798,-0.0394831,0,1.15995,0.451283,-0.0394831,0,1.01343,0.603662,0.0371943,0,-1.20879,-0.474726,0.0234604,0,-0.94017,-0.158241,-0.010472,0,-0.937339,0.348419,-0.571848,-0.010472,0,0.34266,0.939459,0.394277
-0.00324249,0,-0.0610504,0.123077,-0.0043869,0,0.0366287,0.146521,-0.00896454,-0,0.818069,0.697435,-0.0154495,-0,0.891331,0.720879,0.00400543,0,-1.84371,-0.0996342,0.00553131,0,-0.866909,-0.0761909,-0.0523599,0,-0.939984,0.341219,-0.419954,-0.345575,-0,0.320955,0.947094,0.546793
-0.0043869,0,0.0610504,0.123077,-0.0043869,0,0.0122108,0.146521,-0.00286102,-0,0.305252,0.228571,-0.00934601,-0,-0.0854683,0.427839,-0.0120163,0,0.0366287,0.193407,0.000190735,0,0.0610504,-0.240294,-0.20944,0,-0.942573,0.334,-0.496368,-0.366519,-0,0.309309,0.950962,0.521633
-0.00476837,0,-0.0122108,0.146521,-0.0043869,0,0.0122108,0.146521,-0.00476837,-0,-0.134312,0.35751,-0.0135422,-0,-0.28083,0.474726,-0.00476837,0,0.354092,0.123077,0.00209808,0,0.207569,-0.0879116,-0.0314159,0,-0.941544,0.33689,-0.546793,-0.167552,-0,0.309309,0.950962,0.419954
-0.00476837,0,0.0366287,0.146521,-0.0043869,0,0.0122108,0.146521,-0.0082016,-0,0.0366287,0.252014,-0.0143051,-0,0.0366287,0.474726,-0.0043869,0,-0.0122108,0.146521,0.00247955,0,-0.0122108,-0.0644684,0.0314159,0,-0.941026,0.338334,-0.521633,0.125664,-0,0.318048,0.948075,0.368498
-0.0043869,0,0.0366287,0.146521,-0.0043869,0,0.0610504,0.146521,-0.00743866,-0,0.0610504,0.252014,-0.0146866,-0,-0.0854683,0.486446,-0.0043869,0,0.0366287,0.146521,0.00247955,0,0.0366287,-0.0761909,-0.010472,0,-0.941544,0.33689,-0.521633,0.10472,-0,0.319502,0.947586,0.419954
-0.0043869,0,0.0122108,0.146521,-0.0043869,0,0.0122108,0.146521,-0.00743866,-0,0.0610504,0.252014,-0.0143051,-0,-0.0122108,0.474726,-0.0043869,0,0.0122108,0.146521,0.00247955,0,0.0122108,-0.0761909,0.0418879,0,-0.940506,0.339777,-0.571848,-0,-0,0.318048,0.948075,0.445528
-0.0043869,0,0.0122108,0.146521,-0.0043869,0,-0.0122108,0.146521,-0.00743866,-0,0.0122108,0.240294,-0.0143051,-0,-0.0854683,0.486446,-0.0043869,0,-0.0122108,0.146521,0.00247955,0,0.0122108,-0.0761909,0.0418879,0,-0.939984,0.341219,-0.546793,0.020944,-0,0.319502,0.947586,0.419954
-0.0043869,0,0.0122108,0.146521,-0.0043869,0,0.0122108,0.146521,-0.00782013,-0,0.0122108,0.252014,-0.0143051,-0,-0.0122108,0.486446,-0.0043869,0,-0.0366287,0.146521,0.00247955,0,0.0366287,-0.0761909,0.010472,0,-0.939984,0.341219,-0.546793,0.010472,-0,0.319502,0.947586,0.419954
-0.00476837,0,-0.0122108,0.146521,-0.0043869,0,0.0122108,0.146521,-0.00782013,-0,-0.0122108,0.252014,-0.0143051,-0,0.0122108,0.486446,-0.0043869,0,-0.0122108,0.146521,0.00247955,0,0.0122108,-0.0761909,-0.020944,0,-0.940506,0.339777,-0.546793,-0,-0,0.319502,0.947586,0.419954
