left_hip_current_position,left_hip_target_position,left_hip_current_velocity,left_hip_torque,right_hip_current_position,right_hip_target_position,right_hip_current_velocity,right_hip_torque,left_shoulder_current_position,left_shoulder_target_position,left_shoulder_current_velocity,left_shoulder_torque,right_shoulder_current_position,right_shoulder_target_position,right_shoulder_current_velocity,right_shoulder_torque,left_leg_current_position,left_leg_target_position,left_leg_current_velocity,left_leg_torque,right_leg_current_position,right_leg_target_position,right_leg_current_velocity,right_leg_torque,left_wheel_current_velocity,left_wheel_target_velocity,left_wheel_current_sin_position,left_wheel_current_cos_position,left_wheel_torque,right_wheel_current_velocity,right_wheel_target_velocity,right_wheel_current_sin_position,right_wheel_current_cos_position,right_wheel_torque
0,0,0,0,0,0,0,0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0088,0,0,0,-0.0088,0,0,0,0.026,0,0,0,0.026,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0176,0,0,0,-0.0176,0,0,0,0.052,0,0,0,0.052,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0264,0,0,0,-0.0264,0,0,0,0.078,0,0,0,0.078,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0352,0,0,0,-0.0352,0,0,0,0.104,0,0,0,0.104,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.044,0,0,0,-0.044,0,0,0,0.13,0,0,0,0.13,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0528,0,0,0,-0.0528,0,0,0,0.156,0,0,0,0.156,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0616,0,0,0,-0.0616,0,0,0,0.182,0,0,0,0.182,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0704,0,0,0,-0.0704,0,0,0,0.208,0,0,0,0.208,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0792,0,0,0,-0.0792,0,0,0,0.234,0,0,0,0.234,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.088,0,0,0,-0.088,0,0,0,0.26,0,0,0,0.26,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.0968,0,0,0,-0.0968,0,0,0,0.286,0,0,0,0.286,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1056,0,0,0,-0.1056,0,0,0,0.312,0,0,0,0.312,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1144,0,0,0,-0.1144,0,0,0,0.338,0,0,0,0.338,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1232,0,0,0,-0.1232,0,0,0,0.364,0,0,0,0.364,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.132,0,0,0,-0.132,0,0,0,0.39,0,0,0,0.39,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1408,0,0,0,-0.1408,0,0,0,0.416,0,0,0,0.416,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1496,0,0,0,-0.1496,0,0,0,0.442,0,0,0,0.442,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1584,0,0,0,-0.1584,0,0,0,0.468,0,0,0,0.468,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1672,0,0,0,-0.1672,0,0,0,0.494,0,0,0,0.494,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.176,0,0,0,-0.176,0,0,0,0.52,0,0,0,0.52,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1848,0,0,0,-0.1848,0,0,0,0.546,0,0,0,0.546,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1936,0,0,0,-0.1936,0,0,0,0.572,0,0,0,0.572,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.2024,0,0,0,-0.2024,0,0,0,0.598,0,0,0,0.598,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.2112,0,0,0,-0.2112,0,0,0,0.624,0,0,0,0.624,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.22,0,0,0,-0.22,0,0,0,0.65,0,0,0,0.65,0,0,0,0,0,0,0,0,-0,0,0,0
0,0,0,0,0,0,0,0,0,-0.2112,0,0,0,-0.2112,0,0,0,0.624,0,0,0,0.624,0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.2024,0,0,0,-0.2024,0,0,0,0.598,0,0,0,0.598,0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1936,0,0,0,-0.1936,0,0,0,0.572,0,0,0,0.572,0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1848,0,0,0,-0.1848,0,0,0,0.546,0,0,0,0.546,0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.176,0,0,0,-0.176,0,0,0,0.52,0,0,0,0.52,0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1672,0,0,0,-0.1672,0,0,0,0.494,0,0,0,0.494,0,0,0,-0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-0.1584,0,0,0,-0.1584,0,0,0,0.468,0,0,0,0.468,0,0,0,-0,0,0,0,0,0,0,0,0
